concept_id,concept_code,concept_name,vocabulary_id,ingredient
40866211,OMOP2064173,Naloxone 12 MG / Tilidine 180 MG Oral Tablet Box of 300,RxNorm Extension,tilidine
40866212,OMOP2064174,Naloxone 12 MG / Tilidine 180 MG Oral Tablet Box of 20,RxNorm Extension,tilidine
40874132,OMOP2072094,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet [Tilnalox Ct] Box of 100,RxNorm Extension,tilidine
40874133,OMOP2072095,Naloxone 8 MG / Tilidine 100 MG Oral Tablet [Tilidin 1a Pharma],RxNorm Extension,tilidine
40874134,OMOP2072096,Naloxone 8 MG / Tilidine 120 MG Oral Tablet [Valoron N] Box of 50,RxNorm Extension,tilidine
40874135,OMOP2072097,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Tilnalox Ct] Box of 50,RxNorm Extension,tilidine
40874136,OMOP2072098,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Tilnalox Ct],RxNorm Extension,tilidine
40874137,OMOP2072099,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Tilidin N Sandoz] Box of 20,RxNorm Extension,tilidine
40874138,OMOP2072100,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Tilidin Hexal] Box of 100,RxNorm Extension,tilidine
40874139,OMOP2072101,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Tilidin Hexal],RxNorm Extension,tilidine
40874140,OMOP2072102,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Celldolor] Box of 50,RxNorm Extension,tilidine
40874141,OMOP2072103,Naloxone 4 MG / Tilidine 50 MG Oral Capsule [Tilidalor] Box of 50,RxNorm Extension,tilidine
40874142,OMOP2072104,Naloxone 4 MG / Tilidine 59.9 MG Oral Tablet [Valoron N] Box of 200,RxNorm Extension,tilidine
40874143,OMOP2072105,Naloxone 4 MG / Tilidine 59.9 MG Oral Tablet [Valoron N] Box of 30,RxNorm Extension,tilidine
40874145,OMOP2072107,Naloxone 17.6 MG / Tilidine 206 MG Extended Release Oral Tablet [Tilidin Ratiopharm],RxNorm Extension,tilidine
40874148,OMOP2072110,Naloxone 17.6 MG / Tilidine 206 MG Extended Release Oral Tablet [Tilicomp Beta],RxNorm Extension,tilidine
40874149,OMOP2072111,Naloxone 17.6 MG / Tilidine 206 MG Oral Tablet [Celldolor],RxNorm Extension,tilidine
40874150,OMOP2072112,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution [Gruntin],RxNorm Extension,tilidine
40874151,OMOP2072113,Naloxone 6.08 MG/ML / Tilidine 71.2 MG/ML Oral Solution [Andolor],RxNorm Extension,tilidine
40874152,OMOP2072114,Naloxone 12 MG / Tilidine 150 MG Oral Tablet [Tilidin Hexal] Box of 100,RxNorm Extension,tilidine
40874153,OMOP2072115,Naloxone 12 MG / Tilidine 150 MG Oral Tablet [Tilidin 1a Pharma] Box of 50,RxNorm Extension,tilidine
40874154,OMOP2072116,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Celldolor] Box of 50,RxNorm Extension,tilidine
40884594,OMOP2082556,Naloxone 4 MG / Tilidine 50 MG Oral Tablet [Celldolor] Box of 100 by Cellgmbh,RxNorm Extension,tilidine
40884595,OMOP2082557,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Celldolor] Box of 20 by Cellgmbh,RxNorm Extension,tilidine
40884598,OMOP2082560,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Tilidin N Dura] Box of 50 by Mylan,RxNorm Extension,tilidine
40884599,OMOP2082561,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet Box of 20 by TEVA,RxNorm Extension,tilidine
40897378,OMOP2095340,Naloxone 4 MG / Tilidine 50 MG Oral Capsule Box of 10,RxNorm Extension,tilidine
